total_sulfur_dioxide,chlorides,volatile_acidity,alcohol,style
23.0,0.102,0.775,10.7,0
22.0,0.07,0.5,9.2,0
10.0,0.079,0.9,9.8,0
35.0,0.08,0.545,9.0,0
50.0,0.084,0.61,10.2,0
22.0,0.075,0.5,10.4,0
35.0,0.08,0.545,9.0,0
65.0,0.077,0.575,9.2,0
36.0,0.07,0.49,9.4,0
65.0,0.077,0.575,9.2,0
69.0,0.467,0.41,9.3,0
64.0,0.08800000000000001,0.63,9.3,0
80.0,0.091,0.33,9.6,0
153.0,0.122,0.785,9.3,0
47.0,0.10400000000000001,0.56,9.5,0
108.0,0.084,0.62,9.8,0
111.0,0.085,0.6,9.8,0
46.0,0.08,0.31,9.7,0
47.0,0.10400000000000001,0.56,9.5,0
62.0,0.09,0.4,10.5,0
40.0,0.077,0.54,10.0,0
28.0,0.08199999999999999,0.56,9.4,0
56.0,0.11900000000000001,0.55,10.9,0
89.0,0.09699999999999999,0.69,9.2,0
89.0,0.17800000000000002,1.07,9.0,0
56.0,0.11900000000000001,0.55,10.9,0
13.0,0.075,0.695,9.2,0
34.0,0.08,0.71,9.5,0
102.0,0.08199999999999999,0.5,9.5,0
90.0,0.146,0.62,9.4,0
12.0,0.081,1.33,10.9,0
12.0,0.08199999999999999,1.33,10.9,0
16.0,0.065,0.59,10.5,0
19.0,0.07200000000000001,0.38,9.4,0
134.0,0.11800000000000001,0.745,9.4,0
99.0,0.049,0.5,13.0,0
99.0,0.049,0.5,13.0,0
26.0,0.06,0.5,9.8,0
29.0,0.084,1.04,9.9,0
63.0,0.09,0.745,9.6,0
52.0,0.08900000000000001,0.715,9.5,0
45.0,0.081,0.415,9.2,0
105.0,0.081,0.56,9.5,0
108.0,0.081,0.56,9.5,0
63.0,0.09,0.745,9.6,0
52.0,0.08900000000000001,0.715,9.5,0
63.0,0.05,0.34,14.0,0
20.0,0.066,0.39,9.4,0
63.0,0.05,0.34,14.0,0
141.0,0.11699999999999999,0.67,9.4,0
94.0,0.087,0.68,10.0,0
88.0,0.23600000000000002,0.49,9.3,0
30.0,0.07400000000000001,0.49,10.2,0
43.0,0.08900000000000001,0.4,10.5,0
11.0,0.077,0.33,10.3,0
69.0,0.61,0.52,9.4,0
99.0,0.095,0.6,10.1,0
99.0,0.095,0.6,10.1,0
129.0,0.07,0.43,10.5,0
128.0,0.071,0.43,10.5,0
129.0,0.07,0.43,10.5,0
128.0,0.071,0.43,10.5,0
22.0,0.073,0.68,9.3,0
86.0,0.079,0.6,9.3,0
20.0,0.09,0.95,9.6,0
20.0,0.07200000000000001,0.68,9.2,0
31.0,0.076,0.53,10.0,0
121.0,0.07,0.6,9.4,0
121.0,0.07,0.59,9.4,0
96.0,0.1,0.63,9.5,0
101.0,0.085,0.64,10.2,0
42.0,0.07200000000000001,0.55,9.0,0
44.0,0.08900000000000001,0.63,10.4,0
63.0,0.36,0.705,9.5,0
8.0,0.057999999999999996,0.885,9.1,0
18.0,0.073,0.42,9.2,0
18.0,0.073,0.42,9.2,0
42.0,0.068,0.62,11.5,0
35.0,0.08,0.38,9.5,0
49.0,0.085,0.5,9.5,0
35.0,0.08,0.38,9.5,0
38.0,0.087,0.52,10.5,0
20.0,0.068,0.805,9.6,0
42.0,0.067,0.61,9.5,0
42.0,0.067,0.61,9.5,0
110.0,0.27,0.61,9.3,0
42.0,0.076,0.73,9.3,0
65.0,0.077,0.61,9.3,0
62.0,0.079,0.62,9.3,0
85.0,0.111,0.31,9.7,0
67.0,0.08199999999999999,0.39,9.2,0
26.0,0.084,0.705,9.7,0
143.0,0.084,0.5,9.5,0
144.0,0.08199999999999999,0.49,9.5,0
127.0,0.077,0.5,9.4,0
49.0,0.07400000000000001,0.37,9.8,0
126.0,0.099,0.63,9.5,0
28.0,0.071,0.55,9.7,0
28.0,0.071,0.55,9.7,0
120.0,0.07400000000000001,0.59,9.4,0
55.0,0.07400000000000001,0.58,10.2,0
27.0,0.067,0.3,10.1,0
93.0,0.046,0.835,13.0,0
31.0,0.061,1.09,11.4,0
24.0,0.055999999999999994,0.32,10.3,0
145.0,0.09699999999999999,0.37,9.3,0
49.0,0.075,0.5,9.5,0
39.0,0.08800000000000001,0.42,9.2,0
37.0,0.08900000000000001,0.43,9.2,0
28.0,0.095,0.3,10.8,0
28.0,0.095,0.3,10.8,0
120.0,0.069,0.57,9.3,0
95.0,0.1,0.44,9.4,0
19.0,0.054000000000000006,0.3,10.5,0
19.0,0.039,0.53,12.4,0
62.0,0.083,0.725,10.0,0
15.0,0.059000000000000004,0.44,10.2,0
65.0,0.06,0.57,10.1,0
41.0,0.092,0.735,9.8,0
121.0,0.06,0.49,10.5,0
49.0,0.10099999999999999,0.625,11.0,0
41.0,0.07200000000000001,0.725,9.1,0
44.0,0.076,0.49,9.7,0
144.0,0.08,0.53,9.5,0
58.0,0.08199999999999999,0.34,9.4,0
72.0,0.10099999999999999,0.53,9.4,0
10.0,0.057,0.61,9.5,0
28.0,0.083,0.645,10.0,0
55.0,0.08900000000000001,0.635,10.4,0
63.0,0.073,0.43,10.5,0
81.0,0.337,0.59,9.5,0
23.0,0.08900000000000001,0.82,9.8,0
63.0,0.073,0.43,10.5,0
37.0,0.081,0.52,11.0,0
106.0,0.054000000000000006,0.48,12.2,0
49.0,0.078,0.38,9.9,0
58.0,0.09,0.37,9.6,0
37.0,0.081,0.52,11.0,0
37.0,0.065,1.0,9.0,0
38.0,0.09699999999999999,0.63,9.0,0
38.0,0.09699999999999999,0.63,9.0,0
39.0,0.09699999999999999,0.645,9.2,0
38.0,0.09699999999999999,0.63,9.0,0
37.0,0.065,1.0,9.0,0
62.0,0.263,0.635,9.3,0
24.0,0.09300000000000001,0.38,10.9,0
109.0,0.102,0.58,9.8,0
24.0,0.075,0.21,9.2,0
24.0,0.075,0.21,9.2,0
23.0,0.084,0.66,9.9,0
51.0,0.075,0.68,9.5,0
73.0,0.07200000000000001,0.6,9.3,0
39.0,0.07400000000000001,0.53,9.8,0
23.0,0.084,0.66,9.9,0
37.0,0.063,0.32,10.0,0
34.0,0.07400000000000001,0.6,9.9,0
21.0,0.09,0.35,10.5,0
86.0,0.092,0.775,9.5,0
34.0,0.07400000000000001,0.6,9.9,0
119.0,0.073,0.57,9.3,0
13.0,0.075,0.34,9.2,0
56.0,0.075,0.695,9.2,0
45.0,0.611,0.41,9.4,0
33.0,0.085,0.31,10.5,0
45.0,0.077,0.33,9.3,0
67.0,0.087,0.975,9.4,0
35.0,0.07,0.52,10.0,0
49.0,0.077,0.37,9.3,0
27.0,0.064,0.56,10.9,0
10.0,0.071,0.26,10.2,0
61.0,0.096,0.87,9.8,0
37.0,0.078,0.35,12.8,0
27.0,0.077,0.54,9.4,0
23.0,0.10400000000000001,0.18,10.1,0
61.0,0.087,0.545,10.7,0
23.0,0.10400000000000001,0.18,10.1,0
65.0,0.071,0.37,10.1,0
38.0,0.076,0.715,9.4,0
94.0,0.08800000000000001,0.65,9.4,0
61.0,0.087,0.545,10.7,0
27.0,0.077,0.54,9.4,0
23.0,0.10400000000000001,0.18,10.1,0
13.0,0.073,0.32,12.6,0
47.0,0.087,0.4,10.5,0
19.0,0.071,0.26,9.3,0
10.0,0.358,0.27,9.9,0
53.0,0.067,0.52,9.1,0
47.0,0.087,0.4,10.5,0
71.0,0.102,0.59,9.8,0
71.0,0.102,0.59,9.8,0
49.0,0.073,0.45,10.3,0
53.0,0.092,0.4,10.3,0
49.0,0.091,0.52,10.6,0
98.0,0.105,0.42,9.2,0
49.0,0.091,0.52,10.6,0
18.0,0.34299999999999997,0.2,10.5,0
48.0,0.091,0.55,10.3,0
16.0,0.098,0.36,10.1,0
53.0,0.094,0.34,9.5,0
27.0,0.073,0.5,9.5,0
70.0,0.086,0.83,9.9,0
29.0,0.083,0.63,9.6,0
31.0,0.094,0.65,9.7,0
33.0,0.08,0.67,9.6,0
44.0,0.086,0.53,10.7,0
15.0,0.068,0.18,10.1,0
28.0,0.092,0.705,10.0,0
21.0,0.18600000000000003,0.67,9.5,0
90.0,0.11199999999999999,0.65,9.2,0
25.0,0.063,0.53,9.3,0
54.0,0.08199999999999999,0.62,9.4,0
14.0,0.213,0.41,9.5,0
12.0,0.214,0.43,9.5,0
30.0,0.062,0.29,9.5,0
25.0,0.063,0.53,9.3,0
105.0,0.07200000000000001,0.53,9.4,0
98.0,0.09300000000000001,0.46,9.5,0
135.0,0.076,0.47,9.4,0
72.0,0.087,0.36,11.0,0
53.0,0.096,0.35,11.0,0
92.0,0.102,0.56,10.1,0
74.0,0.08199999999999999,0.77,10.4,0
59.0,0.083,0.66,11.5,0
74.0,0.08199999999999999,0.77,10.4,0
59.0,0.083,0.66,11.5,0
87.0,0.09,0.61,9.7,0
18.0,0.079,0.62,9.3,0
73.0,0.09,0.59,9.5,0
50.0,0.071,0.49,9.2,0
50.0,0.071,0.49,9.2,0
14.0,0.121,0.53,11.5,0
13.0,0.107,0.44,11.5,0
21.0,0.08199999999999999,0.27,9.7,0
15.0,0.061,0.46,9.5,0
41.0,0.122,0.36,12.5,0
41.0,0.122,0.36,12.5,0
114.0,0.066,0.58,9.4,0
44.0,0.105,0.56,11.0,0
38.0,0.078,0.65,11.7,0
21.0,0.128,0.695,12.2,0
16.0,0.052000000000000005,0.43,12.5,0
58.0,0.08,0.43,10.3,0
99.0,0.10300000000000001,0.49,11.5,0
29.0,0.08199999999999999,0.28,9.8,0
21.0,0.066,0.34,9.2,0
18.0,0.065,0.42,11.3,0
14.0,0.11800000000000001,0.39,9.8,0
14.0,0.11800000000000001,0.39,9.8,0
32.0,0.08199999999999999,0.57,10.7,0
63.0,0.067,0.685,9.9,0
34.0,0.07200000000000001,0.815,12.3,0
15.0,0.09300000000000001,0.49,12.0,0
46.0,0.08900000000000001,0.56,10.0,0
28.0,0.09300000000000001,0.785,9.4,0
34.0,0.107,0.67,9.9,0
26.0,0.096,0.795,9.4,0
19.0,0.09,0.665,9.3,0
77.0,0.12,0.53,13.0,0
165.0,0.066,0.21,11.9,0
32.0,0.078,0.75,12.8,0
55.0,0.08,0.41,11.0,0
29.0,0.11599999999999999,0.42,11.7,0
23.0,0.109,0.43,10.4,0
41.0,0.08800000000000001,0.38,9.8,0
81.0,0.099,0.7,9.4,0
50.0,0.086,0.45,9.9,0
37.0,0.07200000000000001,0.58,10.0,0
15.0,0.071,0.46,10.2,0
42.0,0.083,0.615,10.0,0
21.0,0.107,0.42,11.8,0
42.0,0.083,0.615,10.0,0
24.0,0.076,0.575,9.0,0
75.0,0.159,0.34,9.4,0
18.0,0.07400000000000001,0.27,12.0,0
63.0,0.063,0.765,9.9,0
25.0,0.055999999999999994,0.24,8.7,0
46.0,0.067,0.28,10.6,0
72.0,0.106,0.55,9.2,0
47.0,0.08900000000000001,0.41,10.8,0
15.0,0.124,0.54,11.8,0
47.0,0.078,0.45,11.0,0
18.0,0.07400000000000001,0.27,12.0,0
24.0,0.08800000000000001,0.625,13.3,0
60.0,0.094,0.42,10.8,0
27.0,0.08,0.26,9.4,0
43.0,0.085,0.415,10.0,0
27.0,0.08,0.26,9.4,0
27.0,0.08,0.26,9.4,0
54.0,0.087,0.51,9.2,0
37.0,0.09,0.63,9.7,0
48.0,0.08800000000000001,0.54,9.2,0
42.0,0.079,0.66,9.6,0
53.0,0.08800000000000001,0.46,9.2,0
49.0,0.096,0.38,10.0,0
88.0,0.045,0.85,12.9,0
43.0,0.085,0.415,10.0,0
26.0,0.08199999999999999,0.37,9.5,0
95.0,0.11199999999999999,0.665,9.1,0
25.0,0.063,0.6,9.9,0
38.0,0.066,0.37,13.0,0
124.0,0.122,0.735,9.9,0
49.0,0.087,0.59,11.0,0
49.0,0.087,0.59,11.0,0
42.0,0.064,0.765,9.4,0
124.0,0.122,0.735,9.9,0
38.0,0.059000000000000004,0.26,10.8,0
64.0,0.085,0.48,10.5,0
41.0,0.085,0.6,10.5,0
27.0,0.075,0.69,9.1,0
25.0,0.059000000000000004,0.31,10.1,0
28.0,0.063,0.44,10.8,0
30.0,0.09300000000000001,0.39,10.8,0
16.0,0.174,0.34,11.3,0
49.0,0.07,0.46,9.6,0
86.0,0.08,0.43,9.5,0
78.0,0.08,0.45,9.5,0
77.0,0.1,0.735,9.3,0
19.0,0.09699999999999999,0.4,11.7,0
122.0,0.087,0.52,9.5,0
134.0,0.11699999999999999,0.725,9.3,0
20.0,0.111,0.48,11.7,0
124.0,0.091,0.58,10.5,0
20.0,0.121,0.38,10.4,0
52.0,0.066,0.77,9.9,0
67.0,0.08900000000000001,0.56,11.8,0
48.0,0.059000000000000004,0.84,12.3,0
60.0,0.047,0.96,10.9,0
24.0,0.066,0.24,11.0,0
60.0,0.047,0.96,10.9,0
48.0,0.059000000000000004,0.84,12.3,0
48.0,0.045,0.67,11.4,0
32.0,0.077,0.78,10.6,0
30.0,0.07,0.52,9.3,0
35.0,0.08800000000000001,0.84,10.4,0
24.0,0.066,0.24,11.0,0
66.0,0.07400000000000001,0.55,9.2,0
24.0,0.078,0.37,12.8,0
18.0,0.091,0.39,9.5,0
54.0,0.076,0.41,9.9,0
18.0,0.091,0.39,9.5,0
62.0,0.06,0.67,10.2,0
22.0,0.066,0.45,11.2,0
54.0,0.076,0.41,9.9,0
50.0,0.062,0.62,9.3,0
29.0,0.07200000000000001,0.31,9.8,0
27.0,0.068,0.4,11.3,0
43.0,0.1,0.685,11.2,0
19.0,0.077,0.44,11.6,0
27.0,0.054000000000000006,0.57,12.5,0
31.0,0.079,0.735,10.1,0
72.0,0.081,0.38,10.5,0
16.0,0.127,0.48,11.2,0
27.0,0.1,0.53,10.2,0
35.0,0.095,0.39,10.8,0
35.0,0.095,0.39,10.8,0
26.0,0.413,0.37,9.1,0
35.0,0.084,0.56,10.0,0
22.0,0.084,0.33,11.2,0
67.0,0.063,0.23,11.1,0
19.0,0.086,0.62,13.4,0
22.0,0.095,0.59,10.3,0
65.0,0.09699999999999999,0.63,9.6,0
22.0,0.084,0.33,11.2,0
47.0,0.07400000000000001,0.58,9.0,0
23.0,0.083,0.43,11.3,0
19.0,0.087,0.615,9.3,0
25.0,0.085,0.26,11.8,0
129.0,0.098,0.66,9.0,0
15.0,0.084,0.315,9.2,0
26.0,0.098,0.29,9.7,0
51.0,0.069,0.5,11.5,0
18.0,0.065,0.46,14.0,0
21.0,0.09,0.36,9.2,0
48.0,0.07,0.82,9.8,0
47.0,0.09300000000000001,0.32,10.6,0
52.0,0.081,0.54,11.4,0
68.0,0.083,0.37,10.4,0
14.0,0.062,0.35,10.6,0
24.0,0.08,0.28,9.4,0
28.0,0.087,0.68,10.2,0
16.0,0.091,0.27,9.7,0
20.0,0.075,0.24,11.0,0
28.0,0.087,0.68,10.2,0
31.0,0.077,0.685,10.1,0
23.0,0.069,0.28,9.2,0
17.0,0.08,0.3,11.7,0
18.0,0.152,0.36,9.4,0
18.0,0.152,0.36,9.4,0
24.0,0.114,0.44,13.4,0
17.0,0.054000000000000006,0.67,10.0,0
17.0,0.054000000000000006,0.67,10.0,0
14.0,0.053,0.645,10.0,0
67.0,0.081,0.32,10.8,0
26.0,0.073,0.39,10.2,0
56.0,0.078,0.775,10.6,0
25.0,0.055,0.41,13.3,0
27.0,0.052000000000000005,0.4,13.4,0
81.0,0.086,0.69,11.6,0
91.0,0.051,0.39,12.1,0
16.0,0.07,0.35,11.0,0
38.0,0.081,0.52,9.0,0
113.0,0.09,0.34,11.1,0
16.0,0.07,0.35,11.0,0
81.0,0.086,0.69,11.6,0
38.0,0.081,0.52,9.0,0
76.0,0.07400000000000001,0.44,12.0,0
76.0,0.07400000000000001,0.44,12.0,0
24.0,0.078,0.26,10.9,0
22.0,0.077,0.24,10.8,0
26.0,0.07200000000000001,0.49,12.5,0
21.0,0.075,0.24,10.8,0
13.0,0.084,0.67,9.5,0
62.0,0.09,0.59,10.2,0
43.0,0.084,0.29,11.4,0
43.0,0.073,0.42,9.5,0
62.0,0.09,0.59,10.2,0
49.0,0.125,0.4,9.7,0
15.0,0.107,0.51,11.8,0
15.0,0.107,0.51,11.8,0
151.0,0.122,0.655,9.3,0
14.0,0.1,0.6,11.9,0
16.0,0.2,0.61,8.4,0
32.0,0.08800000000000001,0.21,11.7,0
106.0,0.08800000000000001,0.365,11.0,0
33.0,0.08800000000000001,0.25,10.0,0
43.0,0.08800000000000001,0.41,9.1,0
133.0,0.099,0.39,9.8,0
142.0,0.085,0.4,9.4,0
116.0,0.086,0.43,9.5,0
53.0,0.105,0.64,9.9,0
106.0,0.08800000000000001,0.365,11.0,0
85.0,0.09699999999999999,0.38,11.4,0
55.0,0.084,0.42,8.7,0
33.0,0.077,0.63,9.4,0
28.0,0.078,0.22,10.3,0
42.0,0.098,0.38,10.3,0
42.0,0.098,0.38,10.3,0
33.0,0.07200000000000001,0.27,12.8,0
32.0,0.102,0.48,10.0,0
28.0,0.078,0.22,10.3,0
33.0,0.077,0.63,9.4,0
13.0,0.084,0.825,10.7,0
35.0,0.066,0.35,12.0,0
17.0,0.1,0.5,11.2,0
47.0,0.10099999999999999,0.59,9.6,0
17.0,0.064,0.46,11.0,0
20.0,0.07,0.715,9.9,0
53.0,0.085,0.66,11.0,0
15.0,0.075,0.31,8.4,0
106.0,0.094,0.47,9.1,0
28.0,0.078,0.55,9.5,0
21.0,0.067,0.31,10.7,0
69.0,0.079,0.35,10.4,0
25.0,0.171,0.53,9.4,0
25.0,0.07400000000000001,0.51,9.5,0
45.0,0.092,0.43,10.0,0
44.0,0.092,0.46,10.0,0
96.0,0.05,1.04,11.5,0
23.0,0.095,0.645,11.1,0
23.0,0.095,0.645,11.1,0
17.0,0.11800000000000001,0.53,11.7,0
23.0,0.095,0.645,11.1,0
17.0,0.11800000000000001,0.53,11.7,0
47.0,0.085,0.47,12.7,0
19.0,0.075,0.6,11.4,0
121.0,0.078,0.44,9.2,0
110.0,0.094,0.54,9.2,0
60.0,0.092,0.29,10.1,0
47.0,0.085,0.47,12.7,0
19.0,0.075,0.6,11.4,0
15.0,0.226,0.7,9.0,0
15.0,0.226,0.7,9.0,0
20.0,0.25,0.5,10.7,0
42.0,0.095,0.36,11.7,0
37.0,0.07,0.35,11.0,0
42.0,0.095,0.36,11.7,0
28.0,0.075,0.24,10.4,0
47.0,0.07,0.59,9.6,0
78.0,0.078,0.34,10.0,0
46.0,0.079,0.27,10.2,0
14.0,0.10300000000000001,0.5,10.0,0
111.0,0.083,0.44,9.5,0
110.0,0.085,0.47,9.8,0
40.0,0.063,0.31,9.8,0
14.0,0.08900000000000001,0.5,9.6,0
14.0,0.08900000000000001,0.5,9.6,0
15.0,0.083,0.49,9.2,0
21.0,0.07400000000000001,0.28,9.9,0
80.0,0.09300000000000001,0.33,10.7,0
38.0,0.091,0.51,9.6,0
47.0,0.094,0.31,10.6,0
102.0,0.10800000000000001,0.73,9.3,0
50.0,0.06,0.42,14.0,0
13.0,0.059000000000000004,0.29,10.5,0
75.0,0.084,0.45,9.7,0
149.0,0.07,0.39,11.5,0
75.0,0.084,0.45,9.7,0
43.0,0.094,0.49,9.0,0
38.0,0.096,0.72,9.5,0
109.0,0.086,0.595,9.3,0
24.0,0.059000000000000004,0.4,9.3,0
18.0,0.071,0.58,10.0,0
30.0,0.078,0.585,9.8,0
22.0,0.08199999999999999,0.59,9.3,0
23.0,0.08800000000000001,0.915,10.0,0
35.0,0.071,0.46,9.0,0
14.0,0.081,0.835,9.3,0
35.0,0.071,0.46,9.0,0
63.0,0.096,0.58,9.1,0
24.0,0.085,0.6,9.2,0
20.0,0.07200000000000001,0.41,12.2,0
52.0,0.092,0.48,10.5,0
65.0,0.11,0.65,10.4,0
39.0,0.075,0.36,12.7,0
57.0,0.083,0.24,9.2,0
16.0,0.081,0.38,9.4,0
29.0,0.077,0.64,10.0,0
29.0,0.057999999999999996,0.39,9.8,0
103.0,0.14800000000000002,0.755,10.2,0
71.0,0.079,0.6,9.7,0
71.0,0.079,0.6,9.7,0
28.0,0.079,0.31,9.8,0
17.0,0.122,0.46,10.2,0
16.0,0.08800000000000001,0.37,9.3,0
112.0,0.076,0.54,9.4,0
104.0,0.078,0.56,9.4,0
32.0,0.08,0.58,9.5,0
45.0,0.077,0.51,12.1,0
58.0,0.124,0.69,10.2,0
58.0,0.124,0.69,10.2,0
15.0,0.098,0.6,9.1,0
15.0,0.098,0.6,9.1,0
31.0,0.09699999999999999,0.54,9.3,0
84.0,0.111,0.685,9.3,0
31.0,0.09699999999999999,0.54,9.3,0
19.0,0.105,0.28,9.5,0
43.0,0.087,0.41,10.5,0
86.0,0.105,0.935,11.3,0
102.0,0.073,0.35,9.5,0
33.0,0.065,0.84,9.7,0
147.0,0.086,0.88,9.4,0
145.0,0.084,0.885,9.4,0
23.0,0.14300000000000002,0.915,10.2,0
57.0,0.067,0.29,10.3,0
40.0,0.071,0.54,9.4,0
68.0,0.071,0.59,9.5,0
40.0,0.071,0.54,9.4,0
68.0,0.071,0.59,9.5,0
40.0,0.071,0.54,9.4,0
11.0,0.115,0.64,10.1,0
20.0,0.107,0.67,10.1,0
14.0,0.07,0.845,11.0,0
28.0,0.066,0.48,11.2,0
148.0,0.068,0.42,11.3,0
32.0,0.106,0.43,9.6,0
155.0,0.10400000000000001,0.88,11.2,0
71.0,0.096,0.36,14.9,0
30.0,0.079,0.33,12.0,0
29.0,0.07400000000000001,0.47,9.5,0
53.0,0.087,0.55,9.4,0
32.0,0.106,0.43,9.6,0
42.0,0.073,0.5,10.5,0
20.0,0.07400000000000001,0.52,9.6,0
13.0,0.096,0.84,11.0,0
20.0,0.07400000000000001,0.52,9.6,0
42.0,0.08,0.42,9.0,0
27.0,0.076,0.57,9.6,0
13.0,0.05,0.28,10.2,0
54.0,0.092,0.4,10.2,0
48.0,0.084,0.59,9.7,0
16.0,0.222,0.49,9.5,0
15.0,0.08199999999999999,0.34,9.2,0
31.0,0.059000000000000004,0.73,11.0,0
15.0,0.08199999999999999,0.34,9.2,0
45.0,0.083,0.4,10.0,0
13.0,0.07400000000000001,0.73,9.5,0
151.0,0.079,1.24,9.5,0
13.0,0.07400000000000001,0.73,9.5,0
17.0,0.084,0.4,9.3,0
31.0,0.064,0.41,10.2,0
17.0,0.084,0.4,9.3,0
31.0,0.084,0.8,9.9,0
87.0,0.081,0.78,10.0,0
49.0,0.06,0.26,9.6,0
40.0,0.07,0.43,9.0,0
29.0,0.094,0.45,10.2,0
58.0,0.078,0.46,9.8,0
15.0,0.059000000000000004,0.78,11.3,0
152.0,0.078,0.98,9.4,0
15.0,0.059000000000000004,0.78,11.3,0
40.0,0.07,0.65,9.1,0
38.0,0.095,0.64,9.7,0
9.0,0.039,0.66,9.4,0
17.0,0.157,0.38,9.4,0
14.0,0.09699999999999999,1.185,10.7,0
93.0,0.087,0.92,9.8,0
62.0,0.42200000000000004,0.49,9.0,0
122.0,0.084,0.48,9.4,0
125.0,0.084,0.47,9.4,0
44.0,0.034,0.47,12.8,0
25.0,0.066,0.65,9.5,0
25.0,0.066,0.65,9.5,0
72.0,0.087,0.615,9.7,0
19.0,0.071,0.38,10.8,0
88.0,0.076,1.02,10.1,0
25.0,0.066,0.65,9.5,0
23.0,0.067,0.64,9.4,0
84.0,0.073,0.38,9.6,0
14.0,0.078,0.765,9.7,0
54.0,0.073,1.035,9.9,0
19.0,0.09300000000000001,0.78,10.0,0
37.0,0.077,0.49,10.5,0
35.0,0.068,0.545,11.6,0
33.0,0.062,0.31,10.0,0
84.0,0.08,1.025,10.1,0
112.0,0.09300000000000001,0.565,9.5,0
33.0,0.084,0.69,9.4,0
48.0,0.075,0.43,9.4,0
77.0,0.078,0.74,9.8,0
34.0,0.069,0.49,9.2,0
48.0,0.075,0.43,9.4,0
49.0,0.079,0.46,10.0,0
22.0,0.08199999999999999,0.56,9.6,0
45.0,0.086,0.66,9.5,0
22.0,0.08199999999999999,0.56,9.6,0
106.0,0.094,0.48,9.2,0
48.0,0.084,0.42,10.0,0
127.0,0.053,0.31,9.5,0
12.0,0.086,1.115,11.2,0
13.0,0.077,0.66,10.4,0
